Larimer,"60,219"
Las Animas,"42,016"
Lincoln,"32,951"
Logan,"44,239"
Mesa,"48,884"
Mineral,"67,967"
Moffat,"45,652"
Montezuma,"46,887"
Montrose,"46,747"
Morgan,"47,366"
Otero,"39,281"
Ouray,"72,871"
Park,"53,092"
Phillips,"44,065"
Pitkin,"187,595"
Prowers,"41,752"
Pueblo,"43,513"
Rio Blanco,"50,197"
Rio Grande,"52,047"
Routt,"94,626"
Saguache,"38,688"
San Juan,"53,827"
San Miguel,"101,654"
Sedgwick,"41,472"
Summit,"81,157"
Teller,"57,928"
Washington,"41,064"
Weld,"52,354"
Yuma,"41,615"
,
,
Fairfield,"119,366"
Hartford,"67,205"
Litchfield,"69,700"
Middlesex,"71,602"
New Haven,"60,128"
New London,"61,222"
Tolland,"60,819"
Windham,"51,376"
,
,
Kent,"46,542"
New Castle,"59,303"
Sussex,"56,669"
,
,
,
,
Alachua,"48,858"
Baker,"37,403"
Bay,"50,394"
Bradford,"36,956"
Brevard,"51,769"
Broward,"57,878"
Calhoun,"33,042"
Charlotte,"49,052"
Citrus,"42,292"
Clay,"48,070"
Collier,"112,479"
Columbia,"39,839"
DeSoto,"30,286"
Dixie,"32,064"
Duval,"50,307"
Escambia,"47,837"
Flagler,"52,613"
Franklin,"38,995"
Gadsden,"40,463"
Gilchrist,"39,046"
Glades,"31,398"
Gulf,"45,709"
Hamilton,"29,767"
Hardee,"32,358"
Hendry,"37,672"
Hernando,"42,585"
Highlands,"39,163"
Hillsborough,"53,432"
Holmes,"34,564"
Indian River,"89,294"
Jackson,"36,810"
Jefferson,"45,771"
Lafayette,"29,032"
Lake,"45,880"
Lee,"59,300"
Leon,"49,821"
Levy,"40,271"
Liberty,"29,988"
Madison,"36,338"
Manatee,"55,550"
Marion,"41,960"
Martin,"95,026"
Miami-Dade,"57,713"
Monroe,"99,764"
Nassau,"66,227"
Okaloosa,"54,934"
Okeechobee,"35,985"
Orange,"49,597"
Osceola,"39,421"
Palm Beach,"92,773"
Pasco,"46,696"
Pinellas,"60,996"
Polk,"40,970"
Putnam,"37,129"
St. Johns,"76,387"
St. Lucie,"45,760"
Santa Rosa,"50,016"
Sarasota,"75,070"
Seminole,"52,916"
Sumter,"60,900"
Suwannee,"36,672"
Taylor,"33,070"
Union,"23,094"
Volusia,"48,620"
Wakulla,"41,625"
Walton,"74,926"
Washington,"33,656"
,
,
Appling,"38,878"
Atkinson,"32,402"
Bacon,"37,802"
Baker,"45,195"
Baldwin,"37,833"
Banks,"40,087"
Barrow,"41,378"
Bartow,"43,775"
Ben Hill,"35,427"
Berrien,"37,305"
Bibb,"43,592"
Bleckley,"38,355"
Brantley,"32,549"
Brooks,"38,394"
Bryan,"51,580"
Bulloch,"35,618"
Burke,"39,207"
Butts,"38,057"
Calhoun,"31,898"
Camden,"39,729"
Candler,"37,183"
Carroll,"44,014"
Catoosa,"39,530"
Charlton,"29,062"
Chatham,"51,482"
Chattahoochee,"36,007"
Chattooga,"33,948"
Cherokee,"56,552"
Clarke,"38,188"
Clay,"38,731"
Clayton,"32,446"
Clinch,"40,601"
Cobb,"63,105"
Coffee,"35,690"
Colquitt,"37,233"
Columbia,"55,920"
Cook,"36,344"
Coweta,"53,894"
Crawford,"37,733"
Crisp,"41,308"
Dade,"37,634"
Dawson,"50,904"
Decatur,"37,395"
DeKalb,"57,129"
Dodge,"34,346"
Dooly,"40,132"
Dougherty,"40,942"
Douglas,"41,066"
Early,"40,192"
Echols,"34,554"
Effingham,"44,887"
Elbert,"37,588"
Emanuel,"37,982"
Evans,"36,770"
Fannin,"43,024"
Fayette,"68,463"
Floyd,"41,411"
Forsyth,"68,985"
Franklin,"35,255"
Fulton,"95,825"
Gilmer,"38,886"
Glascock,"38,061"
Glynn,"52,149"
Gordon,"38,445"
Grady,"35,214"
Greene,"63,335"
Gwinnett,"46,705"
Habersham,"36,989"
Hall,"49,925"
Hancock,"32,961"
Haralson,"40,611"
Harris,"52,889"
Hart,"40,960"
Heard,"36,081"
Henry,"43,389"
Houston,"45,536"
Irwin,"37,925"
Jackson,"45,903"
Jasper,"41,228"
Jeff Davis,"35,826"
Jefferson,"38,396"
Jenkins,"34,673"
Johnson,"30,333"
Jones,"41,573"
Lamar,"38,669"
Lanier,"33,643"
Laurens,"40,198"
Lee,"47,008"
Liberty,"38,518"
Lincoln,"43,594"
Long,"36,566"
Lowndes,"41,037"
Lumpkin,"42,280"
McDuffie,"40,949"
McIntosh,"44,683"
Macon,"35,669"
Madison,"39,298"
Marion,"35,290"
Meriwether,"40,855"
Miller,"46,907"
Mitchell,"39,267"
Monroe,"49,781"
Montgomery,"35,598"
Morgan,"53,835"
Murray,"34,039"
Muscogee,"45,144"
Newton,"38,449"
Oconee,"72,145"
Oglethorpe,"39,427"
Paulding,"43,662"
Peach,"41,231"
Pickens,"51,623"
Pierce,"39,454"
Pike,"44,985"
Polk,"36,171"
Pulaski,"37,589"
Putnam,"49,574"
Quitman,"36,692"
Rabun,"47,292"
Randolph,"39,892"
Richmond,"41,051"
Rockdale,"39,358"
Schley,"39,972"
Screven,"37,736"
Seminole,"44,322"
Spalding,"39,157"
Stephens,"38,905"
Stewart,"31,652"
Sumter,"39,790"
Talbot,"42,057"
Taliaferro,"36,369"
Tattnall,"32,553"
Taylor,"34,501"
Telfair,"28,241"
Terrell,"42,819"
Thomas,"48,175"
Tift,"41,415"
Toombs,"39,359"
Towns,"43,802"
Treutlen,"34,542"
Troup,"41,915"
Turner,"34,612"
Twiggs,"41,800"
Union,"42,125"
Upson,"38,329"
Walker,"37,697"
Walton,"45,718"
Ware,"36,269"
Warren,"40,022"
Washington,"39,048"
Wayne,"34,619"
Webster,"41,223"
Wheeler,"22,227"
White,"43,695"
Whitfield,"44,590"
Wilcox,"28,996"
