CTYNAME,YEAR,MEDIAN_AGE_TOT
Wilcox County,3,41.8
Wilcox County,4,42.4
Winston County,1,45.6
Winston County,2,45.6
Winston County,3,45.6
Winston County,4,45.4
Aleutians East Borough,1,44.3
Aleutians East Borough,2,44.2
Aleutians East Borough,3,44.2
Aleutians East Borough,4,44.4
Aleutians West Census Area,1,42.2
Aleutians West Census Area,2,42.2
Aleutians West Census Area,3,42.1
Aleutians West Census Area,4,42.1
Anchorage Municipality,1,34.6
Anchorage Municipality,2,34.7
Anchorage Municipality,3,34.9
Anchorage Municipality,4,35.1
Bethel Census Area,1,27.5
Bethel Census Area,2,27.5
Bethel Census Area,3,27.5
Bethel Census Area,4,27.7
Bristol Bay Borough,1,42.5
Bristol Bay Borough,2,41.5
Bristol Bay Borough,3,40.3
Bristol Bay Borough,4,39.0
Chugach Census Area,1,38.9
Chugach Census Area,2,38.9
Chugach Census Area,3,39.6
Chugach Census Area,4,39.5
Copper River Census Area,1,39.3
Copper River Census Area,2,39.4
Copper River Census Area,3,40.4
Copper River Census Area,4,41.0
Denali Borough,1,39.8
Denali Borough,2,39.8
Denali Borough,3,40.2
Denali Borough,4,40.6
Dillingham Census Area,1,30.4
Dillingham Census Area,2,30.6
Dillingham Census Area,3,30.7
Dillingham Census Area,4,31.4
Fairbanks North Star Borough,1,32.5
Fairbanks North Star Borough,2,32.6
Fairbanks North Star Borough,3,32.7
Fairbanks North Star Borough,4,32.8
Haines Borough,1,48.7
Haines Borough,2,48.2
Haines Borough,3,48.4
Haines Borough,4,48.9
Hoonah-Angoon Census Area,1,50.3
Hoonah-Angoon Census Area,2,50.4
Hoonah-Angoon Census Area,3,50.8
Hoonah-Angoon Census Area,4,51.4
Juneau City and Borough,1,38.9
Juneau City and Borough,2,38.9
Juneau City and Borough,3,39.4
Juneau City and Borough,4,39.8
Kenai Peninsula Borough,1,41.0
Kenai Peninsula Borough,2,41.0
Kenai Peninsula Borough,3,41.1
Kenai Peninsula Borough,4,41.2
Ketchikan Gateway Borough,1,39.8
Ketchikan Gateway Borough,2,39.8
Ketchikan Gateway Borough,3,40.4
Ketchikan Gateway Borough,4,40.6
Kodiak Island Borough,1,35.0
Kodiak Island Borough,2,35.1
Kodiak Island Borough,3,35.3
Kodiak Island Borough,4,35.8
Kusilvak Census Area,1,23.5
Kusilvak Census Area,2,23.5
Kusilvak Census Area,3,23.6
Kusilvak Census Area,4,23.3
Lake and Peninsula Borough,1,34.6
Lake and Peninsula Borough,2,34.5
