CTYNAME,YEAR,MEDIAN_AGE_TOT
Hamilton County,3,43.4
Hamilton County,4,42.7
Hancock County,1,45.7
Hancock County,2,45.7
Hancock County,3,45.6
Hancock County,4,45.4
Hardin County,1,49.9
Hardin County,2,50.0
Hardin County,3,50.0
Hardin County,4,50.0
Henderson County,1,50.1
Henderson County,2,50.3
Henderson County,3,50.0
Henderson County,4,50.7
Henry County,1,43.3
Henry County,2,43.3
Henry County,3,43.4
Henry County,4,43.6
Iroquois County,1,44.2
Iroquois County,2,44.2
Iroquois County,3,44.2
Iroquois County,4,44.2
Jackson County,1,32.6
Jackson County,2,32.5
Jackson County,3,32.4
Jackson County,4,32.3
Jasper County,1,42.9
Jasper County,2,43.1
Jasper County,3,43.4
Jasper County,4,43.4
Jefferson County,1,41.1
Jefferson County,2,41.1
Jefferson County,3,41.3
Jefferson County,4,41.4
Jersey County,1,43.1
Jersey County,2,43.1
Jersey County,3,43.2
Jersey County,4,43.5
Jo Daviess County,1,50.7
Jo Daviess County,2,50.8
Jo Daviess County,3,51.2
Jo Daviess County,4,51.6
Johnson County,1,41.8
Johnson County,2,41.8
Johnson County,3,41.8
Johnson County,4,42.1
Kane County,1,38.3
Kane County,2,38.3
Kane County,3,38.7
Kane County,4,39.0
Kankakee County,1,39.0
Kankakee County,2,39.0
Kankakee County,3,39.0
Kankakee County,4,39.1
Kendall County,1,35.9
Kendall County,2,36.0
Kendall County,3,36.1
Kendall County,4,36.3
Knox County,1,42.5
Knox County,2,42.5
Knox County,3,42.6
Knox County,4,42.7
Lake County,1,38.8
Lake County,2,38.9
Lake County,3,39.1
Lake County,4,39.4
LaSalle County,1,41.9
LaSalle County,2,41.9
LaSalle County,3,41.9
LaSalle County,4,42.2
Lawrence County,1,40.5
Lawrence County,2,40.6
Lawrence County,3,40.6
Lawrence County,4,41.0
Lee County,1,43.5
Lee County,2,43.5
Lee County,3,43.3
Lee County,4,43.5
Livingston County,1,41.4
Livingston County,2,41.4
Livingston County,3,41.3
Livingston County,4,41.4
Logan County,1,40.6
Logan County,2,40.6
Logan County,3,40.6
Logan County,4,40.7
McDonough County,1,35.8
McDonough County,2,35.8
McDonough County,3,35.6
McDonough County,4,35.3
McHenry County,1,40.6
McHenry County,2,40.7
McHenry County,3,40.6
McHenry County,4,40.8
McLean County,1,34.1
McLean County,2,34.2
McLean County,3,34.2
McLean County,4,34.3
Macon County,1,41.0
Macon County,2,41.0
Macon County,3,41.1
Macon County,4,41.2
Macoupin County,1,43.8
Macoupin County,2,43.8
Macoupin County,3,43.9
Macoupin County,4,44.2
Madison County,1,40.1
Madison County,2,40.1
Madison County,3,40.3
Madison County,4,40.5
Marion County,1,41.3
Marion County,2,41.3
Marion County,3,41.2
Marion County,4,41.4
Marshall County,1,45.8
Marshall County,2,45.7
Marshall County,3,45.8
Marshall County,4,45.8
Mason County,1,45.1
Mason County,2,45.1
Mason County,3,45.2
Mason County,4,45.1
Massac County,1,44.5
Massac County,2,44.5
Massac County,3,44.8
Massac County,4,44.8
Menard County,1,43.1
Menard County,2,43.2
Menard County,3,43.5
Menard County,4,43.8
Mercer County,1,44.5
Mercer County,2,44.6
Mercer County,3,44.4
Mercer County,4,44.4
Monroe County,1,42.6
Monroe County,2,42.6
Monroe County,3,42.9
Monroe County,4,43.2
Montgomery County,1,43.0
Montgomery County,2,43.0
Montgomery County,3,42.7
Montgomery County,4,42.7
Morgan County,1,42.4
Morgan County,2,42.4
Morgan County,3,42.4
Morgan County,4,42.4
Moultrie County,1,39.6
Moultrie County,2,39.7
Moultrie County,3,39.6
Moultrie County,4,40.2
Ogle County,1,41.9
Ogle County,2,42.0
Ogle County,3,42.1
Ogle County,4,42.2
Peoria County,1,38.1
Peoria County,2,38.2
Peoria County,3,38.4
Peoria County,4,38.4
Perry County,1,41.5
Perry County,2,41.6
Perry County,3,41.4
Perry County,4,41.8
Piatt County,1,42.9
Piatt County,2,42.9
Piatt County,3,42.8
Piatt County,4,43.1
Pike County,1,42.8
Pike County,2,42.9
Pike County,3,42.3
Pike County,4,42.2
Pope County,1,54.7
Pope County,2,54.9
Pope County,3,55.6
Pope County,4,56.3
Pulaski County,1,43.8
Pulaski County,2,43.8
Pulaski County,3,44.1
Pulaski County,4,44.3
Putnam County,1,46.5
Putnam County,2,46.5
Putnam County,3,46.6
Putnam County,4,46.7
Randolph County,1,42.9
Randolph County,2,43.0
Randolph County,3,42.7
Randolph County,4,42.8
Richland County,1,42.2
Richland County,2,42.2
Richland County,3,42.3
Richland County,4,42.5
Rock Island County,1,40.3
Rock Island County,2,40.4
Rock Island County,3,40.5
Rock Island County,4,40.6
St. Clair County,1,39.0
St. Clair County,2,39.1
St. Clair County,3,39.3
St. Clair County,4,39.6
Saline County,1,43.5
Saline County,2,43.5
Saline County,3,43.7
Saline County,4,43.9
Sangamon County,1,40.7
Sangamon County,2,40.8
Sangamon County,3,40.9
Sangamon County,4,41.2
Schuyler County,1,46.5
Schuyler County,2,46.6
Schuyler County,3,46.6
Schuyler County,4,46.5
Scott County,1,43.9
Scott County,2,43.9
Scott County,3,44.4
Scott County,4,44.8
Shelby County,1,44.8
Shelby County,2,44.9
Shelby County,3,45.0
Shelby County,4,45.2
Stark County,1,44.7
Stark County,2,44.6
Stark County,3,44.7
Stark County,4,44.4
Stephenson County,1,45.5
Stephenson County,2,45.5
Stephenson County,3,45.4
Stephenson County,4,45.4
Tazewell County,1,41.4
Tazewell County,2,41.4
Tazewell County,3,41.5
Tazewell County,4,41.8
Union County,1,44.8
Union County,2,44.7
Union County,3,45.0
Union County,4,44.7
Vermilion County,1,41.0
Vermilion County,2,41.0
Vermilion County,3,41.0
Vermilion County,4,41.0
Wabash County,1,43.1
Wabash County,2,43.3
Wabash County,3,43.4
Wabash County,4,43.5
Warren County,1,40.1
Warren County,2,40.0
Warren County,3,40.2
Warren County,4,40.0
Washington County,1,44.0
Washington County,2,44.0
Washington County,3,44.2
Washington County,4,44.3
Wayne County,1,42.9
Wayne County,2,43.0
Wayne County,3,43.1
Wayne County,4,43.3
White County,1,44.7
White County,2,44.8
White County,3,44.6
White County,4,44.4
Whiteside County,1,43.4
Whiteside County,2,43.4
Whiteside County,3,43.1
Whiteside County,4,43.1
Will County,1,38.6
Will County,2,38.6
Will County,3,38.8
Will County,4,39.1
Williamson County,1,41.3
Williamson County,2,41.4
Williamson County,3,41.6
Williamson County,4,42.0
Winnebago County,1,39.7
Winnebago County,2,39.7
Winnebago County,3,39.7
Winnebago County,4,39.7
Woodford County,1,40.5
Woodford County,2,40.6
Woodford County,3,40.9
Woodford County,4,41.0
Adams County,1,33.6
Adams County,2,33.6
Adams County,3,33.5
Adams County,4,33.5
Allen County,1,36.0
Allen County,2,36.0
Allen County,3,36.0
Allen County,4,36.1
Bartholomew County,1,37.7
Bartholomew County,2,37.8
Bartholomew County,3,37.9
Bartholomew County,4,37.9
Benton County,1,39.9
Benton County,2,39.9
Benton County,3,39.9
Benton County,4,40.1
Blackford County,1,44.1
Blackford County,2,43.9
Blackford County,3,43.5
Blackford County,4,43.4
Boone County,1,38.1
Boone County,2,38.1
Boone County,3,38.2
Boone County,4,38.6
Brown County,1,50.1
Brown County,2,50.2
Brown County,3,50.4
Brown County,4,51.4
Carroll County,1,43.1
Carroll County,2,43.0
Carroll County,3,43.1
Carroll County,4,43.0
Cass County,1,41.4
Cass County,2,41.5
Cass County,3,41.5
Cass County,4,41.4
Clark County,1,39.5
Clark County,2,39.5
Clark County,3,39.6
Clark County,4,39.7
Clay County,1,41.0
Clay County,2,41.0
Clay County,3,41.0
Clay County,4,41.2
Clinton County,1,37.6
Clinton County,2,37.6
Clinton County,3,37.5
Clinton County,4,37.6
Crawford County,1,44.6
Crawford County,2,44.6
Crawford County,3,45.2
Crawford County,4,45.5
Daviess County,1,34.8
Daviess County,2,34.9
Daviess County,3,34.7
Daviess County,4,34.6
Dearborn County,1,42.4
Dearborn County,2,42.4
Dearborn County,3,42.5
Dearborn County,4,42.7
Decatur County,1,39.8
Decatur County,2,39.7
Decatur County,3,39.7
Decatur County,4,39.8
DeKalb County,1,39.1
DeKalb County,2,39.1
DeKalb County,3,39.3
DeKalb County,4,39.2
Delaware County,1,35.9
Delaware County,2,35.9
Delaware County,3,35.7
Delaware County,4,35.6
Dubois County,1,40.5
Dubois County,2,40.6
Dubois County,3,40.6
Dubois County,4,40.9
Elkhart County,1,35.5
Elkhart County,2,35.6
Elkhart County,3,35.6
Elkhart County,4,35.8
Fayette County,1,43.0
Fayette County,2,43.0
Fayette County,3,42.9
Fayette County,4,42.8
Floyd County,1,39.9
Floyd County,2,39.9
Floyd County,3,40.0
Floyd County,4,40.2
Fountain County,1,42.8
Fountain County,2,42.8
Fountain County,3,43.1
Fountain County,4,42.9
Franklin County,1,42.5
Franklin County,2,42.6
Franklin County,3,42.7
Franklin County,4,42.6
Fulton County,1,41.3
Fulton County,2,41.3
Fulton County,3,41.6
Fulton County,4,41.7
Gibson County,1,39.8
Gibson County,2,39.8
Gibson County,3,39.8
Gibson County,4,39.9
Grant County,1,40.2
Grant County,2,40.2
Grant County,3,40.0
Grant County,4,39.7
Greene County,1,43.4
Greene County,2,43.3
Greene County,3,43.2
Greene County,4,43.1
Hamilton County,1,37.7
Hamilton County,2,37.8
Hamilton County,3,38.0
Hamilton County,4,38.3
Hancock County,1,40.1
Hancock County,2,40.2
Hancock County,3,40.2
Hancock County,4,40.4
Harrison County,1,42.1
Harrison County,2,42.2
Harrison County,3,42.4
Harrison County,4,42.5
Hendricks County,1,38.3
Hendricks County,2,38.3
Hendricks County,3,38.4
Hendricks County,4,38.6
Henry County,1,42.5
Henry County,2,42.4
Henry County,3,42.3
Henry County,4,42.2
Howard County,1,41.0
Howard County,2,41.0
Howard County,3,40.8
Howard County,4,40.6
Huntington County,1,40.9
Huntington County,2,41.0
Huntington County,3,40.9
Huntington County,4,40.9
Jackson County,1,39.6
Jackson County,2,39.6
Jackson County,3,39.9
Jackson County,4,40.0
Jasper County,1,41.2
Jasper County,2,41.3
Jasper County,3,41.4
Jasper County,4,41.5
Jay County,1,39.7
Jay County,2,39.6
Jay County,3,39.9
Jay County,4,40.2
Jefferson County,1,41.4
Jefferson County,2,41.5
Jefferson County,3,41.7
Jefferson County,4,42.0
Jennings County,1,40.6
Jennings County,2,40.6
Jennings County,3,40.6
Jennings County,4,40.6
Johnson County,1,37.8
Johnson County,2,37.8
Johnson County,3,37.9
Johnson County,4,38.0
Knox County,1,38.9
Knox County,2,38.9
Knox County,3,39.1
Knox County,4,39.1
Kosciusko County,1,38.6
Kosciusko County,2,38.7
Kosciusko County,3,39.0
Kosciusko County,4,39.1
LaGrange County,1,31.9
LaGrange County,2,32.0
LaGrange County,3,32.3
LaGrange County,4,32.3
Lake County,1,39.5
Lake County,2,39.5
Lake County,3,39.7
Lake County,4,39.9
LaPorte County,1,40.8
LaPorte County,2,40.8
LaPorte County,3,40.9
LaPorte County,4,41.1
Lawrence County,1,43.2
Lawrence County,2,43.2
Lawrence County,3,43.2
Lawrence County,4,43.0
Madison County,1,41.1
Madison County,2,41.1
Madison County,3,41.0
Madison County,4,40.8
Marion County,1,34.3
Marion County,2,34.4
Marion County,3,34.5
Marion County,4,34.6
Marshall County,1,40.0
Marshall County,2,40.0
Marshall County,3,40.0
Marshall County,4,40.2
Martin County,1,43.0
Martin County,2,42.9
Martin County,3,42.8
Martin County,4,42.9
Miami County,1,40.7
Miami County,2,40.7
Miami County,3,40.5
Miami County,4,40.7
Monroe County,1,30.9
Monroe County,2,31.0
Monroe County,3,31.1
Monroe County,4,31.1
Montgomery County,1,40.3
Montgomery County,2,40.3
Montgomery County,3,40.2
Montgomery County,4,40.2
Morgan County,1,41.9
Morgan County,2,41.9
Morgan County,3,42.1
Morgan County,4,42.3
Newton County,1,43.2
Newton County,2,43.3
Newton County,3,43.3
Newton County,4,43.5
Noble County,1,39.3
Noble County,2,39.3
Noble County,3,39.3
Noble County,4,39.5
Ohio County,1,47.3
Ohio County,2,47.5
Ohio County,3,46.9
Ohio County,4,46.2
Orange County,1,42.3
Orange County,2,42.3
Orange County,3,42.4
Orange County,4,42.7
Owen County,1,44.8
Owen County,2,44.9
Owen County,3,44.9
Owen County,4,45.0
Parke County,1,42.0
Parke County,2,42.0
Parke County,3,41.4
Parke County,4,41.5
Perry County,1,41.0
Perry County,2,41.0
Perry County,3,41.0
Perry County,4,41.5
Pike County,1,43.5
Pike County,2,43.4
Pike County,3,43.5
Pike County,4,43.2
Porter County,1,40.4
Porter County,2,40.4
Porter County,3,40.6
Porter County,4,40.9
Posey County,1,42.8
Posey County,2,42.8
Posey County,3,43.1
Posey County,4,43.4
Pulaski County,1,43.2
Pulaski County,2,43.1
Pulaski County,3,43.6
Pulaski County,4,43.4
Putnam County,1,39.2
Putnam County,2,39.2
Putnam County,3,39.0
Putnam County,4,38.9
Randolph County,1,42.9
Randolph County,2,43.0
Randolph County,3,42.8
Randolph County,4,42.7
Ripley County,1,40.9
Ripley County,2,40.9
Ripley County,3,41.2
Ripley County,4,41.1
Rush County,1,42.1
Rush County,2,42.0
Rush County,3,42.2
Rush County,4,42.1
St. Joseph County,1,36.6
St. Joseph County,2,36.6
St. Joseph County,3,36.6
St. Joseph County,4,36.7
Scott County,1,41.1
Scott County,2,41.0
Scott County,3,40.9
Scott County,4,40.7
Shelby County,1,41.5
Shelby County,2,41.4
Shelby County,3,41.4
Shelby County,4,41.6
Spencer County,1,43.8
Spencer County,2,43.9
Spencer County,3,43.9
Spencer County,4,43.8
Starke County,1,41.9
Starke County,2,42.0
Starke County,3,42.3
Starke County,4,42.7
Steuben County,1,43.2
Steuben County,2,43.3
Steuben County,3,43.5
Steuben County,4,43.8
Sullivan County,1,41.4
Sullivan County,2,41.4
Sullivan County,3,41.6
Sullivan County,4,41.8
Switzerland County,1,41.7
Switzerland County,2,41.9
Switzerland County,3,41.9
Switzerland County,4,42.3
Tippecanoe County,1,28.5
Tippecanoe County,2,28.5
Tippecanoe County,3,28.7
Tippecanoe County,4,28.8
Tipton County,1,44.8
Tipton County,2,44.6
Tipton County,3,44.6
Tipton County,4,44.6
Union County,1,43.2
Union County,2,43.2
Union County,3,43.4
Union County,4,43.9
Vanderburgh County,1,38.6
Vanderburgh County,2,38.6
Vanderburgh County,3,38.7
Vanderburgh County,4,38.8
Vermillion County,1,42.3
Vermillion County,2,42.4
Vermillion County,3,42.8
Vermillion County,4,42.9
Vigo County,1,36.3
Vigo County,2,36.3
Vigo County,3,36.3
Vigo County,4,36.3
Wabash County,1,43.7
Wabash County,2,43.7
Wabash County,3,43.5
Wabash County,4,43.4
Warren County,1,43.9
Warren County,2,43.8
Warren County,3,43.6
Warren County,4,43.5
Warrick County,1,40.9
Warrick County,2,40.9
Warrick County,3,41.0
Warrick County,4,41.1
Washington County,1,41.4
Washington County,2,41.4
Washington County,3,41.8
Washington County,4,41.8
Wayne County,1,41.1
Wayne County,2,41.1
Wayne County,3,41.0
Wayne County,4,40.8
Wells County,1,40.1
Wells County,2,40.1
Wells County,3,39.9
Wells County,4,39.8
White County,1,42.5
White County,2,42.4
White County,3,42.8
White County,4,42.8
Whitley County,1,41.3
Whitley County,2,41.3
Whitley County,3,41.3
Whitley County,4,41.5
Adair County,1,43.7
Adair County,2,43.8
Adair County,3,43.1
Adair County,4,43.3
Adams County,1,46.3
Adams County,2,46.1
Adams County,3,46.1
Adams County,4,46.2
Allamakee County,1,44.0
Allamakee County,2,43.8
Allamakee County,3,43.7
Allamakee County,4,43.5
Appanoose County,1,44.9
Appanoose County,2,45.1
Appanoose County,3,44.8
Appanoose County,4,45.1
Audubon County,1,46.7
Audubon County,2,46.6
Audubon County,3,46.2
Audubon County,4,46.2
Benton County,1,42.7
Benton County,2,42.8
Benton County,3,42.6
Benton County,4,42.5
Black Hawk County,1,35.6
Black Hawk County,2,35.6
Black Hawk County,3,35.6
Black Hawk County,4,35.6
Boone County,1,42.1
Boone County,2,42.2
Boone County,3,42.2
Boone County,4,42.5
Bremer County,1,39.3
Bremer County,2,39.3
Bremer County,3,39.3
Bremer County,4,39.4
Buchanan County,1,39.5
Buchanan County,2,39.6
Buchanan County,3,39.8
Buchanan County,4,40.1
Buena Vista County,1,35.8
Buena Vista County,2,35.8
Buena Vista County,3,36.0
Buena Vista County,4,36.1
Butler County,1,43.4
Butler County,2,43.5
Butler County,3,43.4
Butler County,4,43.7
Calhoun County,1,43.0
Calhoun County,2,43.0
Calhoun County,3,42.8
Calhoun County,4,43.0
Carroll County,1,41.9
Carroll County,2,41.9
Carroll County,3,41.7
Carroll County,4,41.8
Cass County,1,44.1
Cass County,2,44.1
Cass County,3,43.8
Cass County,4,43.6
Cedar County,1,43.7
Cedar County,2,43.8
Cedar County,3,43.8
Cedar County,4,44.0
Cerro Gordo County,1,43.9
Cerro Gordo County,2,43.9
Cerro Gordo County,3,43.9
Cerro Gordo County,4,44.2
Cherokee County,1,45.0
Cherokee County,2,44.9
Cherokee County,3,44.7
Cherokee County,4,44.4
Chickasaw County,1,43.4
Chickasaw County,2,43.4
Chickasaw County,3,43.2
Chickasaw County,4,43.6
Clarke County,1,40.0
Clarke County,2,40.2
Clarke County,3,40.0
Clarke County,4,40.0
Clay County,1,42.1
Clay County,2,42.2
Clay County,3,42.2
Clay County,4,42.3
Clayton County,1,47.0
Clayton County,2,47.0
Clayton County,3,46.4
Clayton County,4,46.0
Clinton County,1,42.1
Clinton County,2,42.1
Clinton County,3,42.2
Clinton County,4,42.3
Crawford County,1,38.0
Crawford County,2,38.0
Crawford County,3,38.5
Crawford County,4,38.6
Dallas County,1,35.6
Dallas County,2,35.6
Dallas County,3,35.9
Dallas County,4,36.0
Davis County,1,36.6
Davis County,2,36.6
Davis County,3,37.0
Davis County,4,36.9
Decatur County,1,37.5
Decatur County,2,37.6
Decatur County,3,37.5
Decatur County,4,37.5
Delaware County,1,43.3
Delaware County,2,43.4
Delaware County,3,43.4
Delaware County,4,43.4
Des Moines County,1,42.0
Des Moines County,2,42.0
Des Moines County,3,42.1
Des Moines County,4,42.2
Dickinson County,1,48.4
Dickinson County,2,48.4
Dickinson County,3,48.6
Dickinson County,4,48.6
Dubuque County,1,38.5
Dubuque County,2,38.6
Dubuque County,3,38.8
Dubuque County,4,39.1
Emmet County,1,43.6
Emmet County,2,43.7
Emmet County,3,43.7
Emmet County,4,44.1
Fayette County,1,43.4
Fayette County,2,43.4
Fayette County,3,43.4
Fayette County,4,43.2
Floyd County,1,43.4
Floyd County,2,43.4
Floyd County,3,43.3
Floyd County,4,43.0
Franklin County,1,42.8
Franklin County,2,42.8
Franklin County,3,42.8
Franklin County,4,42.9
Fremont County,1,45.2
Fremont County,2,45.3
Fremont County,3,44.9
Fremont County,4,45.4
Greene County,1,44.1
Greene County,2,44.3
Greene County,3,44.0
Greene County,4,43.9
Grundy County,1,42.0
Grundy County,2,41.9
Grundy County,3,41.9
Grundy County,4,41.9
Guthrie County,1,45.8
Guthrie County,2,45.8
Guthrie County,3,45.9
Guthrie County,4,45.8
Hamilton County,1,43.0
Hamilton County,2,43.0
Hamilton County,3,43.1
Hamilton County,4,43.1
Hancock County,1,44.4
Hancock County,2,44.5
Hancock County,3,44.5
Hancock County,4,44.5
Hardin County,1,45.3
Hardin County,2,45.4
Hardin County,3,45.4
Hardin County,4,45.3
Harrison County,1,43.1
Harrison County,2,43.1
Harrison County,3,42.5
Harrison County,4,42.5
Henry County,1,40.2
Henry County,2,40.3
Henry County,3,40.4
Henry County,4,40.6
Howard County,1,41.1
Howard County,2,41.1
Howard County,3,41.1
Howard County,4,40.9
Humboldt County,1,41.7
Humboldt County,2,41.7
Humboldt County,3,41.6
Humboldt County,4,41.8
Ida County,1,41.7
Ida County,2,41.6
Ida County,3,41.6
Ida County,4,41.6
Iowa County,1,41.9
Iowa County,2,41.9
Iowa County,3,42.2
Iowa County,4,42.2
Jackson County,1,44.5
Jackson County,2,44.5
Jackson County,3,44.5
Jackson County,4,44.4
Jasper County,1,41.5
Jasper County,2,41.4
Jasper County,3,41.4
Jasper County,4,41.3
Jefferson County,1,45.0
Jefferson County,2,45.1
Jefferson County,3,45.1
Jefferson County,4,45.3
Johnson County,1,30.5
Johnson County,2,30.6
Johnson County,3,30.8
Johnson County,4,31.1
Jones County,1,43.7
Jones County,2,43.7
Jones County,3,43.7
Jones County,4,43.8
Keokuk County,1,42.9
Keokuk County,2,43.0
Keokuk County,3,43.0
Keokuk County,4,43.0
Kossuth County,1,45.3
Kossuth County,2,45.4
Kossuth County,3,45.5
Kossuth County,4,44.9
Lee County,1,43.4
Lee County,2,43.4
Lee County,3,43.4
Lee County,4,43.5
Linn County,1,38.3
Linn County,2,38.4
Linn County,3,38.8
Linn County,4,39.0
Louisa County,1,41.7
Louisa County,2,41.8
Louisa County,3,42.4
Louisa County,4,43.0
Lucas County,1,43.7
Lucas County,2,43.8
Lucas County,3,43.6
Lucas County,4,43.6
Lyon County,1,38.4
Lyon County,2,38.5
Lyon County,3,38.4
Lyon County,4,38.2
Madison County,1,40.7
Madison County,2,40.7
Madison County,3,41.1
Madison County,4,41.2
Mahaska County,1,39.3
Mahaska County,2,39.4
Mahaska County,3,39.5
Mahaska County,4,39.6
Marion County,1,40.1
Marion County,2,40.1
Marion County,3,40.3
Marion County,4,40.3
Marshall County,1,38.4
Marshall County,2,38.4
Marshall County,3,38.3
Marshall County,4,38.1
Mills County,1,43.2
Mills County,2,43.2
Mills County,3,43.3
Mills County,4,43.3
Mitchell County,1,42.4
Mitchell County,2,42.3
Mitchell County,3,42.1
Mitchell County,4,42.2
Monona County,1,45.0
Monona County,2,44.9
Monona County,3,44.6
Monona County,4,44.5
Monroe County,1,41.9
Monroe County,2,41.7
Monroe County,3,41.7
Monroe County,4,42.0
Montgomery County,1,43.9
Montgomery County,2,43.9
Montgomery County,3,43.5
Montgomery County,4,43.5
Muscatine County,1,38.8
Muscatine County,2,38.9
Muscatine County,3,39.2
Muscatine County,4,39.5
O'Brien County,1,41.7
O'Brien County,2,41.6
O'Brien County,3,41.3
O'Brien County,4,41.0
Osceola County,1,43.8
Osceola County,2,43.9
Osceola County,3,43.5
Osceola County,4,43.8
Page County,1,44.7
Page County,2,44.7
Page County,3,44.8
Page County,4,45.0
Palo Alto County,1,41.4
Palo Alto County,2,41.4
Palo Alto County,3,41.6
Palo Alto County,4,42.0
Plymouth County,1,40.3
Plymouth County,2,40.4
Plymouth County,3,40.6
Plymouth County,4,41.0
Pocahontas County,1,45.4
Pocahontas County,2,45.3
Pocahontas County,3,45.2
Pocahontas County,4,44.9
Polk County,1,35.9
Polk County,2,35.9
Polk County,3,36.1
Polk County,4,36.3
Pottawattamie County,1,39.9
Pottawattamie County,2,39.9
Pottawattamie County,3,40.2
Pottawattamie County,4,40.4
Poweshiek County,1,40.5
Poweshiek County,2,40.5
Poweshiek County,3,40.3
Poweshiek County,4,40.7
Ringgold County,1,44.0
Ringgold County,2,43.9
Ringgold County,3,43.5
Ringgold County,4,43.0
Sac County,1,45.2
Sac County,2,45.1
Sac County,3,44.7
Sac County,4,44.7
Scott County,1,38.8
Scott County,2,38.9
Scott County,3,39.1
Scott County,4,39.3
Shelby County,1,45.6
Shelby County,2,45.6
Shelby County,3,44.9
Shelby County,4,45.1
Sioux County,1,34.3
Sioux County,2,34.4
Sioux County,3,34.4
Sioux County,4,34.4
Story County,1,26.3
Story County,2,26.4
Story County,3,26.5
Story County,4,26.6
Tama County,1,41.6
Tama County,2,41.6
Tama County,3,41.9
Tama County,4,41.7
Taylor County,1,42.4
Taylor County,2,42.5
Taylor County,3,42.0
Taylor County,4,41.8
Union County,1,40.8
Union County,2,40.8
Union County,3,41.0
Union County,4,41.4
Van Buren County,1,43.8
Van Buren County,2,43.8
Van Buren County,3,43.8
Van Buren County,4,43.6
Wapello County,1,39.4
Wapello County,2,39.4
Wapello County,3,39.3
Wapello County,4,39.5
Warren County,1,38.6
Warren County,2,38.6
Warren County,3,38.7
Warren County,4,38.8
Washington County,1,40.2
Washington County,2,40.2
Washington County,3,40.2
Washington County,4,40.3
Wayne County,1,41.0
Wayne County,2,40.8
Wayne County,3,40.4
Wayne County,4,40.8
Webster County,1,39.3
Webster County,2,39.3
Webster County,3,39.1
Webster County,4,39.1
Winnebago County,1,41.4
Winnebago County,2,41.4
Winnebago County,3,41.4
Winnebago County,4,41.5
Winneshiek County,1,42.9
Winneshiek County,2,43.0
Winneshiek County,3,43.2
Winneshiek County,4,43.1
Woodbury County,1,36.0
Woodbury County,2,36.0
Woodbury County,3,36.1
Woodbury County,4,36.2
Worth County,1,43.8
Worth County,2,43.8
Worth County,3,44.1
Worth County,4,44.2
Wright County,1,42.5
Wright County,2,42.5
Wright County,3,42.3
Wright County,4,42.1
Allen County,1,40.9
Allen County,2,40.8
Allen County,3,41.0
Allen County,4,40.8
Anderson County,1,40.8
Anderson County,2,40.8
Anderson County,3,41.1
Anderson County,4,41.4
Atchison County,1,36.2
Atchison County,2,36.3
Atchison County,3,36.5
Atchison County,4,36.9
Barber County,1,43.8
Barber County,2,43.8
Barber County,3,44.1
Barber County,4,43.6
Barton County,1,40.3
Barton County,2,40.4
Barton County,3,40.2
Barton County,4,40.3
Bourbon County,1,38.5
Bourbon County,2,38.4
Bourbon County,3,38.3
Bourbon County,4,38.5
Brown County,1,41.0
Brown County,2,41.1
Brown County,3,41.0
Brown County,4,41.0
Butler County,1,38.1
Butler County,2,38.1
Butler County,3,38.2
Butler County,4,38.4
Chase County,1,43.9
Chase County,2,43.7
Chase County,3,43.5
Chase County,4,44.4
Chautauqua County,1,46.6
Chautauqua County,2,46.1
Chautauqua County,3,45.7
Chautauqua County,4,45.0
Cherokee County,1,42.0
Cherokee County,2,42.0
Cherokee County,3,42.0
Cherokee County,4,42.1
Cheyenne County,1,46.1
Cheyenne County,2,46.0
Cheyenne County,3,44.8
Cheyenne County,4,44.5
Clark County,1,40.4
Clark County,2,40.4
Clark County,3,40.7
Clark County,4,41.1
Clay County,1,42.8
Clay County,2,42.8
Clay County,3,43.1
Clay County,4,43.4
Cloud County,1,40.1
Cloud County,2,40.2
Cloud County,3,40.2
Cloud County,4,40.2
Coffey County,1,44.2
Coffey County,2,44.1
Coffey County,3,43.8
Coffey County,4,43.7
Comanche County,1,45.3
Comanche County,2,45.3
Comanche County,3,45.8
Comanche County,4,44.3
Cowley County,1,38.9
Cowley County,2,39.0
Cowley County,3,38.9
Cowley County,4,39.1
Crawford County,1,33.8
Crawford County,2,33.8
Crawford County,3,33.7
Crawford County,4,33.5
Decatur County,1,50.1
Decatur County,2,50.3
Decatur County,3,50.0
Decatur County,4,50.2
Dickinson County,1,42.2
Dickinson County,2,42.3
Dickinson County,3,42.3
Dickinson County,4,42.5
Doniphan County,1,40.9
Doniphan County,2,41.2
Doniphan County,3,41.5
Doniphan County,4,41.5
Douglas County,1,30.8
Douglas County,2,30.9
Douglas County,3,31.2
Douglas County,4,31.4
Edwards County,1,44.7
Edwards County,2,44.7
Edwards County,3,44.4
Edwards County,4,43.9
Elk County,1,48.9
Elk County,2,48.8
Elk County,3,49.3
Elk County,4,48.4
Ellis County,1,32.6
Ellis County,2,32.7
Ellis County,3,32.9
Ellis County,4,33.1
Ellsworth County,1,43.5
Ellsworth County,2,43.5
Ellsworth County,3,43.4
Ellsworth County,4,43.1
Finney County,1,31.4
Finney County,2,31.4
Finney County,3,31.5
Finney County,4,31.9
Ford County,1,31.7
Ford County,2,31.8
Ford County,3,31.8
Ford County,4,32.0
Franklin County,1,39.7
Franklin County,2,39.7
Franklin County,3,39.8
Franklin County,4,40.2
Geary County,1,26.5
Geary County,2,26.5
Geary County,3,26.6
Geary County,4,26.9
Gove County,1,43.7
Gove County,2,43.7
