CTYNAME,MEDIAN_AGE_TOT
Tate,38.2
Tippah,39.3
Tishomingo,43.1
Tunica,34.7
Union,38.1
Walthall,42.3
Warren,40.5
Washington,38.5
Wayne,39.2
Webster,40.3
Wilkinson,40.2
Winston,42.4
Yalobusha,43.1
Yazoo,36.9
Adair,28.5
Andrew,42.2
Atchison,46.9
Audrain,40.3
Barry,43.5
Barton,41.8
Bates,41.3
Benton,54.0
Bollinger,44.4
Boone,32.3
Buchanan,38.9
Butler,40.0
Caldwell,42.1
Callaway,40.2
Camden,53.1
Cape Girardeau,36.8
Carroll,43.6
Carter,42.5
Cass,40.5
Cedar,43.4
Chariton,44.9
Christian,39.0
Clark,43.3
Clay,38.0
Clinton,41.6
Cole,39.8
Cooper,40.9
Crawford,43.0
Dade,46.4
Dallas,41.8
Daviess,41.6
DeKalb,41.5
Dent,44.1
Douglas,45.4
Dunklin,39.3
Franklin,41.7
Gasconade,46.0
Gentry,39.3
Greene,36.7
Grundy,40.2
Harrison,41.9
Henry,43.2
Hickory,54.8
Holt,47.4
Howard,39.2
Howell,40.5
Iron,45.0
Jackson,37.2
Jasper,36.9
Jefferson,40.5
Johnson,30.9
Knox,41.3
Laclede,40.0
Lafayette,41.4
Lawrence,38.9
Lewis,38.6
Lincoln,37.4
Linn,41.7
Livingston,40.7
McDonald,39.2
Macon,42.9
Madison,42.1
Maries,44.9
Marion,39.8
Mercer,43.7
Miller,40.9
Mississippi,40.4
Moniteau,38.8
Monroe,46.3
Montgomery,43.4
Morgan,44.7
New Madrid,42.1
Newton,40.3
Nodaway,33.5
Oregon,43.9
Osage,41.1
Ozark,51.1
Pemiscot,38.8
Perry,42.1
Pettis,38.1
Phelps,36.0
Pike,40.4
Platte,39.2
Polk,38.3
Pulaski,28.5
Putnam,44.0
Ralls,46.2
Randolph,39.5
Ray,42.2
Reynolds,47.9
Ripley,41.5
St. Charles,39.9
St. Clair,47.6
Ste. Genevieve,43.0
St. Francois,39.9
St. Louis,40.4
Saline,37.5
Schuyler,39.2
Scotland,36.6
Scott,39.6
Shannon,45.0
Shelby,41.9
Stoddard,42.3
Stone,54.5
Sullivan,43.7
Taney,42.8
Texas,42.6
Vernon,41.0
Warren,40.6
Washington,41.4
Wayne,47.8
Webster,36.7
Worth,48.9
Wright,39.5
St. Louis city,37.1
Beaverhead,42.7
Big Horn,32.1
Blaine,35.1
Broadwater,45.9
Carbon,49.7
Carter,47.9
Cascade,38.4
Chouteau,43.6
Custer,42.1
Daniels,45.6
Dawson,41.7
Deer Lodge,50.0
Fallon,38.6
Fergus,44.7
Flathead,42.0
Gallatin,33.8
Garfield,43.9
Glacier,33.0
Golden Valley,55.3
Granite,54.5
Hill,34.5
Jefferson,46.6
Judith Basin,49.1
Lake,43.8
Lewis and Clark,41.4
Liberty,42.8
Lincoln,52.0
McCone,48.5
Madison,51.4
Meagher,52.0
Mineral,50.4
Missoula,37.2
Musselshell,48.8
Park,46.6
Petroleum,55.7
Phillips,44.5
Pondera,41.7
Powder River,53.0
Powell,44.7
Prairie,52.6
Ravalli,48.5
Richland,38.7
Roosevelt,30.6
Rosebud,35.7
Sanders,54.4
Sheridan,46.1
Silver Bow,40.1
Stillwater,46.9
Sweet Grass,48.7
Teton,42.8
Toole,39.2
Treasure,47.0
Valley,44.6
Wheatland,43.7
Wibaux,46.6
Yellowstone,38.6
Adams,38.7
Antelope,42.6
Arthur,42.4
Banner,46.8
Blaine,48.5
Boone,42.7
Box Butte,40.0
Boyd,52.6
Brown,45.2
Buffalo,34.9
Burt,43.8
Butler,42.0
Cass,42.0
Cedar,42.3
Chase,42.7
Cherry,41.7
Cheyenne,42.2
Clay,40.5
Colfax,35.5
Cuming,41.4
Custer,42.4
Dakota,33.6
Dawes,36.8
Dawson,36.5
Deuel,49.9
Dixon,42.0
Dodge,39.4
Douglas,35.7
Dundy,48.3
Fillmore,46.3
Franklin,47.7
Frontier,44.1
Furnas,45.6
Gage,43.4
Garden,51.4
Garfield,50.6
Gosper,45.5
Grant,42.3
Greeley,43.4
Hall,36.5
Hamilton,40.9
Harlan,49.6
Hayes,45.2
Hitchcock,43.9
Holt,42.2
Hooker,45.9
Howard,42.9
Jefferson,44.4
Johnson,41.5
Kearney,40.5
Keith,49.0
Keya Paha,53.6
Kimball,48.2
Knox,44.3
Lancaster,34.4
Lincoln,42.1
Logan,44.0
Loup,50.8
McPherson,51.0
Madison,37.5
Merrick,42.9
Morrill,42.7
Nance,42.6
Nemaha,38.9
Nuckolls,47.8
Otoe,41.6
Pawnee,47.8
Perkins,42.6
Phelps,40.4
Pierce,40.2
Platte,38.4
Polk,43.9
Red Willow,41.7
Richardson,45.6
Rock,46.1
Saline,38.4
Sarpy,35.8
Saunders,40.6
Scotts Bluff,39.9
Seward,38.0
Sheridan,45.9
Sherman,46.8
Sioux,52.4
Stanton,41.7
Thayer,45.8
Thomas,46.0
Thurston,28.0
Valley,44.1
Washington,41.9
Wayne,31.3
Webster,43.9
Wheeler,50.1
York,39.3
Churchill,38.9
Clark,38.3
Douglas,54.7
Elko,35.5
Esmeralda,52.8
Eureka,45.5
Humboldt,36.6
Lander,37.8
Lincoln,44.5
Lyon,42.3
Mineral,46.4
Nye,52.7
Pershing,42.3
Storey,56.2
Washoe,38.8
White Pine,41.5
Carson City,42.2
Belknap,48.4
Carroll,54.5
Cheshire,43.7
Coos,50.0
Grafton,44.8
Hillsborough,40.9
Merrimack,42.7
Rockingham,44.9
Strafford,38.2
Sullivan,47.3
Atlantic,42.2
Bergen,42.3
Burlington,41.8
Camden,38.9
Cape May,51.8
Cumberland,38.1
Essex,38.0
Gloucester,40.1
Hudson,35.9
Hunterdon,46.5
Mercer,39.8
Middlesex,39.5
Monmouth,43.6
Morris,42.7
Ocean,41.5
Passaic,38.0
Salem,41.8
Somerset,42.4
Sussex,44.1
Union,39.4
Warren,44.3
Bernalillo,39.1
Catron,62.1
Chaves,36.4
Cibola,37.5
Colfax,49.2
Curry,31.8
De Baca,45.6
Doña Ana,33.7
Eddy,35.7
Grant,48.5
Guadalupe,39.8
Harding,60.5
Hidalgo,41.9
Lea,32.1
Lincoln,52.1
Los Alamos,40.9
Luna,37.1
McKinley,34.1
Mora,52.6
Otero,36.1
Quay,46.5
Rio Arriba,42.3
Roosevelt,30.9
Sandoval,41.1
San Juan,37.4
San Miguel,46.1
Santa Fe,48.4
Sierra,56.2
Socorro,39.4
Taos,50.7
Torrance,43.7
Union,42.6
Valencia,39.5
Albany,38.4
Allegany,39.5
Bronx,35.9
Broome,39.5
Cattaraugus,42.5
Cayuga,43.9
Chautauqua,43.2
Chemung,42.0
Chenango,45.0
Clinton,41.3
Columbia,50.1
Cortland,36.7
Delaware,49.1
Dutchess,42.8
Erie,40.4
Essex,49.8
Franklin,42.1
Fulton,44.3
Genesee,43.2
Greene,47.4
Hamilton,57.3
Herkimer,44.2
Jefferson,33.3
Kings,36.7
Lewis,42.6
Livingston,41.5
Madison,42.5
Monroe,39.7
Montgomery,40.2
Nassau,41.9
New York,39.0
Niagara,43.2
Oneida,40.9
Onondaga,39.8
Ontario,44.3
Orange,36.8
Orleans,43.5
Oswego,40.7
Otsego,39.9
Putnam,44.1
Queens,40.9
Rensselaer,40.5
Richmond,40.6
Rockland,34.9
St. Lawrence,39.8
Saratoga,43.6
Schenectady,39.4
Schoharie,45.8
Schuyler,47.4
Seneca,42.7
Steuben,43.1
Suffolk,42.0
Sullivan,41.9
Tioga,44.7
Tompkins,32.3
Ulster,44.3
Warren,47.1
Washington,45.0
Wayne,43.8
Westchester,41.9
Wyoming,43.5
Yates,41.8
Alamance,39.0
Alexander,44.0
Alleghany,51.8
Anson,41.2
Ashe,50.3
Avery,46.7
Beaufort,47.6
Bertie,46.4
Bladen,45.7
Brunswick,56.6
Buncombe,43.0
Burke,45.7
Cabarrus,37.9
Caldwell,44.9
Camden,40.8
Carteret,50.8
Caswell,46.4
Catawba,41.7
Chatham,48.5
Cherokee,53.7
Chowan,47.1
Clay,55.3
Cleveland,40.7
Columbus,42.0
Craven,39.4
Cumberland,32.0
Currituck,41.9
Dare,48.7
Davidson,42.3
Davie,45.4
Duplin,40.6
Durham,36.0
Edgecombe,41.8
Forsyth,38.4
Franklin,41.1
Gaston,39.7
Gates,47.1
Graham,45.6
Granville,42.5
Greene,40.1
Guilford,37.4
Halifax,43.4
Harnett,35.6
Haywood,47.8
Henderson,48.2
Hertford,42.8
Hoke,33.9
Hyde,46.1
Iredell,41.0
Jackson,40.0
Johnston,38.3
Jones,47.3
Lee,39.4
Lenoir,42.3
Lincoln,44.0
McDowell,44.6
Macon,50.4
Madison,45.5
Martin,47.3
Mecklenburg,35.6
Mitchell,47.7
Montgomery,44.2
Moore,42.8
Nash,41.7
New Hanover,40.8
Northampton,51.8
Onslow,27.6
Orange,36.1
Pamlico,54.1
Pasquotank,39.1
Pender,42.1
Perquimans,50.3
Person,44.5
Pitt,33.3
Polk,54.1
Randolph,41.6
Richmond,39.8
Robeson,36.5
Rockingham,44.7
Rowan,40.6
Rutherford,45.3
Sampson,39.8
Scotland,38.5
Stanly,40.9
Stokes,47.2
Surry,44.0
Swain,41.1
Transylvania,52.5
Tyrrell,44.4
Union,39.4
Vance,39.9
Wake,37.3
Warren,49.1
Washington,48.9
Watauga,31.7
Wayne,37.4
Wilkes,45.6
Wilson,40.7
Yadkin,44.8
Yancey,48.5
Adams,49.3
Barnes,43.6
Benson,30.9
Billings,43.1
Bottineau,44.3
Bowman,42.8
Burke,42.1
Burleigh,38.4
Cass,32.6
Cavalier,47.1
Dickey,40.3
Divide,44.6
Dunn,37.8
Eddy,42.0
Emmons,50.7
Foster,43.9
Golden Valley,47.6
Grand Forks,30.8
Grant,52.4
Griggs,50.1
Hettinger,41.6
Kidder,45.7
LaMoure,46.3
Logan,46.9
McHenry,43.2
McIntosh,51.1
McKenzie,31.5
McLean,46.6
Mercer,43.9
Morton,38.0
Mountrail,34.8
Nelson,48.9
Oliver,45.3
Pembina,45.2
Pierce,43.9
Ramsey,40.3
Ransom,43.7
Renville,43.5
Richland,37.9
Rolette,31.9
Sargent,44.5
Sheridan,54.4
Sioux,28.0
Slope,51.7
Stark,34.4
Steele,46.4
Stutsman,41.1
Towner,49.6
Traill,40.4
Walsh,43.3
Ward,33.4
Wells,51.0
Williams,32.3
Adams,41.5
Allen,39.3
Ashland,41.2
Ashtabula,42.4
Athens,34.4
Auglaize,40.9
Belmont,43.9
Brown,42.2
Butler,37.7
Carroll,45.6
Champaign,41.8
Clark,41.3
Clermont,40.9
Clinton,40.5
Columbiana,44.3
Coshocton,41.2
Crawford,43.2
Cuyahoga,40.5
Darke,41.8
Defiance,40.8
Delaware,40.0
Erie,45.0
Fairfield,39.6
Fayette,40.4
Franklin,34.9
Fulton,41.7
Gallia,41.1
Geauga,44.8
Greene,39.0
Guernsey,42.0
Hamilton,37.1
Hancock,39.5
Hardin,35.5
Harrison,45.0
Henry,41.6
Highland,41.3
Hocking,43.2
Holmes,32.4
Huron,40.4
Jackson,40.0
Jefferson,44.0
Knox,39.5
Lake,44.1
Lawrence,42.4
Licking,40.1
Logan,42.2
Lorain,42.1
Lucas,38.3
Madison,41.0
Mahoning,43.2
Marion,40.7
Medina,43.2
Meigs,44.5
Mercer,39.1
Miami,41.2
Monroe,46.1
Montgomery,38.9
Morgan,44.6
Morrow,43.2
Muskingum,40.3
Noble,53.7
Ottawa,50.5
Paulding,41.5
Perry,41.2
Pickaway,39.6
Pike,41.1
Portage,39.4
Preble,42.9
Putnam,40.2
Richland,40.6
Ross,41.6
Sandusky,42.2
Scioto,40.7
Seneca,40.2
Shelby,39.9
Stark,41.7
Summit,41.3
Trumbull,43.7
Tuscarawas,41.4
Union,38.4
Van Wert,41.2
Vinton,43.6
Warren,39.9
Washington,44.0
Wayne,38.8
Williams,41.8
Wood,35.8
Wyandot,42.7
Adair,37.8
Alfalfa,43.0
Atoka,39.8
Beaver,40.9
Beckham,36.4
Blaine,40.2
Bryan,37.3
Caddo,37.3
Canadian,36.2
Carter,37.9
Cherokee,36.7
Choctaw,40.4
Cimarron,42.1
Cleveland,35.4
Coal,40.9
Comanche,33.6
Cotton,42.4
Craig,41.3
Creek,40.3
Custer,31.6
Delaware,47.0
Dewey,38.9
Ellis,44.6
Garfield,36.6
Garvin,39.2
Grady,39.6
Grant,41.9
Greer,39.3
Harmon,40.6
Harper,41.5
Haskell,41.3
Hughes,38.4
Jackson,35.0
Jefferson,41.1
Johnston,38.4
Kay,38.4
Kingfisher,37.6
Kiowa,41.4
Latimer,41.2
Le Flore,38.9
Lincoln,41.1
Logan,40.2
Love,39.0
McClain,38.7
McCurtain,37.6
McIntosh,46.7
Major,41.4
Marshall,42.7
Mayes,40.5
Murray,42.2
Muskogee,37.8
Noble,42.1
Nowata,41.1
Okfuskee,40.4
Oklahoma,35.4
Okmulgee,39.0
Osage,43.3
Ottawa,37.2
Pawnee,41.2
Payne,27.4
Pittsburg,40.7
Pontotoc,36.9
Pottawatomie,38.3
Pushmataha,44.5
Roger Mills,42.0
Rogers,39.4
Seminole,39.4
Sequoyah,40.1
Stephens,41.7
Texas,33.5
Tillman,41.3
Tulsa,36.3
Wagoner,39.1
Washington,39.5
Washita,40.2
Woods,33.8
Woodward,38.3
Baker,47.1
Benton,33.8
Clackamas,42.1
Clatsop,45.6
Columbia,43.1
Coos,48.6
Crook,46.1
Curry,57.6
Deschutes,42.8
Douglas,46.5
Gilliam,50.4
Grant,50.9
Harney,46.1
Hood River,40.7
Jackson,42.7
Jefferson,40.2
Josephine,47.4
Klamath,41.3
Lake,46.8
Lane,40.6
Lincoln,53.3
Linn,40.0
Malheur,36.0
Marion,37.4
Morrow,36.8
Multnomah,38.8
Polk,38.1
Sherman,46.6
Tillamook,49.0
Umatilla,36.7
Union,39.8
Wallowa,48.9
Wasco,40.9
Washington,38.1
Wheeler,59.5
Yamhill,39.8
Adams,43.9
Allegheny,40.6
Armstrong,47.1
Beaver,44.9
Bedford,47.1
Berks,39.9
Blair,43.1
Bradford,43.9
Bucks,44.2
Butler,43.6
Cambria,45.6
Cameron,52.8
Carbon,46.0
Centre,34.0
Chester,40.7
Clarion,40.8
Clearfield,45.5
Clinton,39.3
Columbia,40.6
Crawford,44.0
Cumberland,40.0
Dauphin,39.4
Delaware,39.2
Elk,48.2
Erie,40.5
Fayette,45.3
Forest,47.9
Franklin,42.2
Fulton,46.0
Greene,43.2
Huntingdon,44.0
Indiana,39.7
Jefferson,44.2
Juniata,43.2
Lackawanna,41.8
Lancaster,39.2
Lawrence,44.9
Lebanon,41.2
Lehigh,39.1
Luzerne,41.8
Lycoming,41.4
McKean,43.3
Mercer,45.0
Mifflin,42.9
Monroe,43.9
Montgomery,41.2
Montour,42.9
Northampton,41.7
Northumberland,44.3
Perry,43.8
Philadelphia,35.1
Pike,49.2
Potter,47.8
Schuylkill,43.7
Snyder,41.1
Somerset,46.7
Sullivan,56.8
Susquehanna,48.8
Tioga,44.9
Union,39.1
Venango,48.0
Warren,47.6
Washington,44.2
Wayne,48.8
Westmoreland,47.2
Wyoming,45.1
York,41.2
Bristol,44.3
Kent,43.6
Newport,47.4
Providence,38.2
Washington,45.4
Abbeville,44.6
Aiken,41.9
Allendale,43.0
Anderson,40.4
Bamberg,44.2
Barnwell,40.6
Beaufort,48.4
Berkeley,37.3
Calhoun,47.3
Charleston,39.6
Cherokee,39.6
Chester,41.9
Chesterfield,42.2
Clarendon,46.1
Colleton,42.2
Darlington,41.0
Dillon,38.6
Dorchester,38.1
Edgefield,43.0
Fairfield,48.5
Florence,39.2
Georgetown,52.7
Greenville,38.5
Greenwood,39.8
Hampton,41.2
Horry,49.0
Jasper,46.3
Kershaw,41.0
Lancaster,42.6
Laurens,41.3
Lee,42.2
Lexington,39.9
McCormick,59.6
Marion,42.5
Marlboro,41.1
Newberry,42.2
Oconee,47.2
Orangeburg,40.9
Pickens,36.1
Richland,34.3
Saluda,43.2
Spartanburg,37.9
Sumter,37.1
Union,44.1
Williamsburg,43.7
York,39.5
Aurora,40.6
Beadle,37.4
Bennett,31.7
Bon Homme,41.4
Brookings,27.6
Brown,38.3
Brule,42.2
Buffalo,26.0
Butte,40.2
Campbell,55.8
Charles Mix,35.8
Clark,39.9
Clay,25.2
Codington,40.3
Corson,29.4
Custer,56.7
Davison,40.1
Day,46.4
Deuel,42.4
Dewey,27.1
Douglas,42.2
Edmunds,45.2
Fall River,53.1
Faulk,42.8
Grant,46.3
Gregory,44.7
Haakon,45.0
Hamlin,31.6
Hand,44.6
Hanson,39.7
Harding,41.9
Hughes,39.3
Hutchinson,41.4
Hyde,43.4
Jackson,28.4
Jerauld,47.7
Jones,49.4
Kingsbury,42.7
Lake,44.6
Lawrence,44.6
Lincoln,36.1
Lyman,36.9
McCook,38.4
McPherson,49.5
Marshall,42.6
Meade,37.5
Mellette,32.2
Miner,44.9
Minnehaha,35.9
Moody,40.6
Oglala Lakota,27.0
Pennington,40.5
Perkins,47.7
Potter,46.9
Roberts,37.9
Sanborn,41.9
Spink,44.6
Stanley,42.4
Sully,48.3
Todd,23.3
Tripp,43.7
Turner,41.9
Union,40.9
Walworth,42.7
Yankton,42.0
Ziebach,33.1
Anderson,42.1
Bedford,37.2
Benton,46.9
Bledsoe,46.2
Blount,44.0
Bradley,40.2
Campbell,43.8
Cannon,41.8
Carroll,41.4
Carter,46.5
Cheatham,41.4
Chester,37.8
Claiborne,43.1
Clay,48.0
Cocke,45.4
Coffee,39.6
Crockett,40.2
Cumberland,53.3
Davidson,35.0
Decatur,45.7
DeKalb,42.1
Dickson,40.2
Dyer,39.3
Fayette,47.7
Fentress,46.5
Franklin,42.2
Gibson,39.5
Giles,43.1
Grainger,46.1
Greene,45.2
Grundy,43.2
Hamblen,40.5
Hamilton,39.9
Hancock,44.6
Hardeman,40.4
Hardin,46.1
Hawkins,45.9
Haywood,42.7
Henderson,41.5
Henry,46.3
Hickman,41.3
Houston,43.8
Humphreys,43.0
Jackson,47.5
Jefferson,44.7
Johnson,47.7
Knox,37.6
Lake,40.2
Lauderdale,39.2
Lawrence,39.1
Lewis,42.7
Lincoln,42.5
Loudon,49.9
McMinn,42.6
McNairy,43.1
Macon,38.1
Madison,39.1
Marion,44.4
Marshall,39.5
Maury,39.2
Meigs,45.5
Monroe,45.0
Montgomery,31.6
Moore,45.3
Morgan,42.4
Obion,42.6
Overton,43.3
Perry,42.6
Pickett,51.5
Polk,46.2
Putnam,36.1
Rhea,41.6
Roane,46.9
Robertson,39.3
Rutherford,34.4
Scott,40.4
Sequatchie,44.7
Sevier,44.1
Shelby,36.0
Smith,40.8
Stewart,43.6
Sullivan,44.8
Sumner,40.0
Tipton,39.0
Trousdale,34.9
Unicoi,47.3
Union,43.0
Van Buren,46.8
Warren,40.5
Washington,40.5
Wayne,43.7
Weakley,37.3
White,43.2
Williamson,40.4
Wilson,39.9
Anderson,39.3
Andrews,32.2
Angelina,37.4
Aransas,49.7
Archer,42.7
Armstrong,43.3
Atascosa,35.9
Austin,41.5
Bailey,33.7
Bandera,52.5
Bastrop,37.2
Baylor,43.1
Bee,35.8
Bell,32.1
Bexar,34.6
Blanco,50.7
Borden,48.3
Bosque,46.4
Bowie,38.2
Brazoria,36.6
Brazos,26.7
Brewster,45.1
Briscoe,45.5
Brooks,33.4
Brown,42.0
Burleson,43.0
Burnet,45.0
Caldwell,37.5
Calhoun,40.1
Callahan,43.4
Cameron,32.5
Camp,37.6
Carson,41.3
Cass,43.7
Castro,34.4
Chambers,34.6
Cherokee,38.1
Childress,33.9
Clay,46.5
Cochran,36.3
Coke,45.7
Coleman,47.4
Collin,37.3
Collingsworth,39.1
Colorado,42.1
Comal,41.5
Comanche,43.9
Concho,47.4
Cooke,40.7
Coryell,32.8
Cottle,46.4
Crane,33.8
Crockett,40.2
Crosby,38.0
Culberson,40.7
Dallam,30.5
Dallas,34.0
Dawson,33.4
Deaf Smith,31.2
Delta,41.2
Denton,37.0
DeWitt,41.4
Dickens,48.5
Dimmit,34.3
Donley,42.2
Duval,35.3
Eastland,42.2
Ector,31.2
Edwards,48.3
Ellis,36.2
El Paso,33.2
Erath,32.1
Falls,39.6
Fannin,40.6
Fayette,47.6
Fisher,44.5
Floyd,38.2
Foard,47.9
Fort Bend,37.3
Franklin,43.3
Freestone,42.4
Frio,32.1
Gaines,28.1
Galveston,38.8
Garza,34.6
Gillespie,49.9
Glasscock,35.7
Goliad,45.9
Gonzales,37.3
Gray,37.8
Grayson,39.4
Gregg,36.0
Grimes,40.4
Guadalupe,37.9
Hale,34.2
Hall,44.3
Hamilton,45.5
Hansford,34.7
Hardeman,42.4
Hardin,39.2
Harris,34.5
Harrison,38.6
Hartley,40.0
Haskell,42.6
Hays,33.7
Hemphill,38.6
Henderson,43.7
Hidalgo,30.2
Hill,41.5
Hockley,35.9
Hood,46.2
Hopkins,39.2
Houston,44.2
Howard,37.6
Hudspeth,34.1
Hunt,37.0
Hutchinson,38.8
Irion,42.6
Jack,38.3
Jackson,39.0
Jasper,42.0
Jeff Davis,61.7
Jefferson,37.0
Jim Hogg,35.0
Jim Wells,35.8
Johnson,36.6
Jones,38.4
Karnes,35.2
Kaufman,33.9
Kendall,42.9
Kenedy,43.5
Kent,45.5
Kerr,47.9
Kimble,50.3
King,42.8
Kinney,41.8
Kleberg,28.4
Knox,39.2
Lamar,39.4
Lamb,36.9
Lampasas,43.7
La Salle,32.2
Lavaca,43.1
Lee,42.9
Leon,44.6
Liberty,33.0
Limestone,41.6
Lipscomb,41.4
Live Oak,40.6
Llano,57.7
Loving,35.3
Lubbock,31.5
Lynn,36.7
McCulloch,44.3
McLennan,33.5
McMullen,44.2
Madison,34.3
Marion,51.1
Martin,32.7
Mason,51.0
Matagorda,37.6
Maverick,30.2
Medina,39.3
Menard,51.4
Midland,32.4
Milam,41.9
Mills,49.3
Mitchell,34.9
Montague,42.9
Montgomery,37.1
Moore,31.9
Morris,42.1
Motley,49.3
Nacogdoches,32.0
Navarro,36.4
Newton,46.2
Nolan,38.4
Nueces,36.6
Ochiltree,33.1
Oldham,42.3
Orange,37.5
Palo Pinto,40.9
Panola,41.0
Parker,39.3
Parmer,35.3
Pecos,36.1
Polk,43.6
Potter,34.9
Presidio,38.7
Rains,47.2
Randall,36.6
Reagan,34.2
Real,52.3
Red River,46.2
Reeves,33.8
Refugio,42.6
Roberts,42.3
Robertson,41.3
Rockwall,37.4
Runnels,40.7
Rusk,39.3
Sabine,53.7
San Augustine,48.9
San Jacinto,45.1
San Patricio,36.4
San Saba,40.0
Schleicher,41.0
Scurry,36.1
Shackelford,42.0
Shelby,38.5
Sherman,36.1
Smith,37.1
Somervell,43.2
Starr,29.3
Stephens,40.1
Sterling,35.2
Stonewall,46.8
Sutton,41.1
Swisher,36.2
Tarrant,35.1
Taylor,32.7
Terrell,51.5
Terry,34.6
Throckmorton,45.9
Titus,34.4
Tom Green,35.6
Travis,35.6
Trinity,48.5
Tyler,42.7
Upshur,40.7
Upton,36.1
Uvalde,33.8
Val Verde,31.6
Van Zandt,42.1
Victoria,36.6
Walker,37.1
Waller,29.4
Ward,34.2
Washington,42.3
Webb,29.8
Wharton,37.5
Wheeler,41.2
Wichita,35.0
Wilbarger,39.7
Willacy,33.3
Williamson,37.1
Wilson,40.6
Winkler,35.1
Wise,39.0
Wood,48.7
Yoakum,30.1
Young,40.7
Zapata,30.6
Zavala,32.5
Beaver,34.0
Box Elder,32.7
Cache,25.8
Carbon,38.7
Daggett,48.5
Davis,32.5
Duchesne,33.6
Emery,37.7
Garfield,42.7
Grand,41.1
Iron,30.3
Juab,30.4
Kane,42.9
Millard,35.2
Morgan,32.9
Piute,47.4
Rich,39.1
Salt Lake,34.0
San Juan,34.8
Sanpete,34.0
Sevier,36.8
Summit,41.5
Tooele,32.0
Uintah,33.0
Utah,25.7
Wasatch,36.6
Washington,39.2
Wayne,42.6
Weber,33.7
Addison,44.4
Bennington,47.3
Caledonia,45.3
Chittenden,37.3
Essex,51.4
Franklin,41.2
Grand Isle,48.7
Lamoille,42.2
Orange,46.6
Orleans,45.3
Rutland,47.5
Washington,44.1
Windham,47.8
Windsor,47.9
Accomack,47.8
Albemarle,40.1
Alleghany,49.3
Amelia,44.5
Amherst,44.0
Appomattox,42.0
Arlington,35.5
Augusta,45.2
Bath,52.3
Bedford,47.0
Bland,48.3
Botetourt,48.1
Brunswick,43.9
Buchanan,47.6
Buckingham,43.5
Campbell,43.7
Caroline,39.8
Carroll,49.6
Charles City,53.0
Charlotte,45.6
Chesterfield,39.2
Clarke,47.1
Craig,49.8
Culpeper,39.7
Cumberland,46.3
Dickenson,46.1
Dinwiddie,43.5
Essex,48.2
Fairfax,39.1
Fauquier,41.4
Floyd,47.9
Fluvanna,43.8
Franklin,48.8
Frederick,41.2
Giles,45.6
Gloucester,44.3
Goochland,49.7
Grayson,49.1
Greene,41.1
Greensville,40.8
Halifax,46.5
Hanover,42.6
Henrico,39.4
Henry,48.0
Highland,60.0
Isle of Wight,43.0
James City,47.2
King and Queen,48.1
King George,38.6
King William,40.2
Lancaster,58.9
Lee,45.1
Loudoun,38.0
Louisa,44.7
Lunenburg,44.5
Madison,46.4
Mathews,55.0
Mecklenburg,49.2
Middlesex,55.5
Montgomery,30.2
Nelson,51.7
New Kent,42.4
Northampton,51.9
Northumberland,59.0
Nottoway,40.3
Orange,42.6
Page,45.5
Patrick,51.3
Pittsylvania,48.1
Powhatan,45.9
Prince Edward,31.7
Prince George,33.9
Prince William,36.3
Pulaski,46.9
Rappahannock,52.2
Richmond,42.4
Roanoke,43.9
Rockbridge,49.8
Rockingham,41.1
Russell,46.8
Scott,47.9
Shenandoah,43.9
Smyth,45.7
Southampton,47.3
Spotsylvania,38.5
Stafford,36.6
Surry,50.8
Sussex,40.4
Tazewell,45.0
Warren,40.7
Washington,47.4
Westmoreland,49.2
Wise,41.8
Wythe,45.9
York,39.8
Alexandria city,38.0
Bristol city,43.3
Buena Vista city,35.5
Charlottesville city,33.0
Chesapeake city,37.8
Colonial Heights city,38.9
Covington city,40.7
Danville city,40.8
Emporia city,39.2
Fairfax city,36.5
Falls Church city,39.6
Franklin city,38.0
Fredericksburg city,31.1
Galax city,38.4
Hampton city,36.4
Harrisonburg city,24.9
Hopewell city,36.3
Lexington city,21.9
Lynchburg city,28.5
Manassas city,35.0
Manassas Park city,36.4
Martinsville city,37.8
Newport News city,34.2
Norfolk city,32.6
Norton city,38.0
Petersburg city,36.5
Poquoson city,41.8
Portsmouth city,35.7
Radford city,23.5
Richmond city,34.8
Roanoke city,38.7
Salem city,40.4
Staunton city,41.7
Suffolk city,38.3
Virginia Beach city,37.8
Waynesboro city,39.0
Williamsburg city,26.5
Winchester city,37.4
Adams,28.6
Asotin,46.0
Benton,36.4
Chelan,40.7
Clallam,52.2
Clark,39.2
Columbia,50.6
Cowlitz,41.0
Douglas,38.6
Ferry,51.8
Franklin,31.0
Garfield,46.6
Grant,33.5
Grays Harbor,44.7
Island,44.8
Jefferson,60.4
King,37.4
Kitsap,40.0
Kittitas,37.6
Klickitat,47.1
Lewis,42.1
Lincoln,46.5
Mason,45.0
Okanogan,42.7
Pacific,54.8
Pend Oreille,49.8
Pierce,36.9
San Juan,56.8
Skagit,42.2
Skamania,48.6
Snohomish,38.6
Spokane,38.3
Stevens,46.7
Thurston,39.9
Wahkiakum,54.6
Walla Walla,38.8
Whatcom,38.3
Whitman,25.7
Yakima,33.1
Barbour,42.3
Berkeley,38.6
Boone,45.6
Braxton,47.0
Brooke,47.2
Cabell,38.8
Calhoun,49.1
Clay,44.9
Doddridge,45.5
Fayette,44.8
Gilmer,39.6
Grant,47.3
Greenbrier,46.5
Hampshire,48.6
Hancock,47.2
Hardy,47.0
