CTYNAME,MEDIAN_AGE_TOT
New Castle,39.3
Sussex,52.7
District of Columbia,34.8
Alachua,32.4
Baker,37.6
Bay,41.2
Bradford,40.4
Brevard,47.0
Broward,41.5
Calhoun,41.4
Charlotte,60.2
Citrus,57.0
Clay,40.5
Collier,53.0
Columbia,41.4
DeSoto,42.5
Dixie,46.4
Duval,36.9
Escambia,37.9
Flagler,53.0
Franklin,49.7
Gadsden,42.7
Gilchrist,42.5
Glades,47.4
Gulf,46.8
Hamilton,41.4
Hardee,35.5
Hendry,35.4
Hernando,47.4
Highlands,54.3
Hillsborough,37.9
Holmes,42.2
Indian River,55.6
Jackson,42.2
Jefferson,48.0
Lafayette,41.2
Lake,46.7
Lee,49.4
Leon,31.8
Levy,47.5
Liberty,40.5
Madison,44.6
Manatee,50.0
Marion,48.4
Martin,53.6
Miami-Dade,41.0
Monroe,49.0
Nassau,46.4
Okaloosa,37.6
Okeechobee,41.7
Orange,36.6
Osceola,37.0
Palm Beach,45.6
Pasco,43.5
Pinellas,49.3
Polk,39.5
Putnam,45.2
St. Johns,44.3
St. Lucie,45.2
Santa Rosa,40.2
Sarasota,57.5
Seminole,39.8
Sumter,68.1
Suwannee,43.0
Taylor,42.4
Union,38.5
Volusia,46.8
Wakulla,41.1
Walton,44.1
Washington,41.5
Appling,39.4
Atkinson,36.6
Bacon,37.8
Baker,47.9
Baldwin,36.4
Banks,41.2
Barrow,36.2
Bartow,38.2
Ben Hill,39.6
Berrien,40.0
Bibb,36.6
Bleckley,40.1
Brantley,40.7
Brooks,43.5
Bryan,35.0
Bulloch,30.1
Burke,39.2
Butts,38.3
Calhoun,40.5
Camden,34.2
Candler,38.9
Carroll,35.3
Catoosa,41.3
Charlton,38.9
Chatham,37.3
Chattahoochee,25.4
Chattooga,40.8
Cherokee,40.2
Clarke,29.1
Clay,46.9
Clayton,33.6
Clinch,37.4
Cobb,37.7
Coffee,36.2
Colquitt,37.3
Columbia,37.8
Cook,38.1
Coweta,39.7
Crawford,44.7
Crisp,40.4
Dade,43.0
Dawson,42.5
Decatur,38.7
DeKalb,36.7
Dodge,42.9
Dooly,45.6
Dougherty,36.4
Douglas,36.8
Early,41.2
Echols,37.5
Effingham,36.6
Elbert,42.2
Emanuel,37.3
Evans,38.0
Fannin,54.3
Fayette,43.3
Floyd,37.9
Forsyth,39.7
Franklin,40.0
Fulton,36.4
Gilmer,49.9
Glascock,43.2
Glynn,43.7
Gordon,39.2
Grady,40.6
Greene,52.7
Gwinnett,36.2
Habersham,39.4
Hall,38.0
Hancock,47.6
Haralson,38.4
Harris,43.0
Hart,45.1
Heard,40.5
Henry,37.2
Houston,36.1
Irwin,40.9
Jackson,38.0
Jasper,41.0
Jeff Davis,37.9
Jefferson,40.0
Jenkins,38.6
Johnson,42.9
Jones,41.2
Lamar,38.5
Lanier,37.6
Laurens,39.2
Lee,37.3
Liberty,28.3
Lincoln,48.2
Long,33.2
Lowndes,31.3
Lumpkin,36.2
McDuffie,39.5
McIntosh,52.2
Macon,40.9
Madison,40.0
Marion,45.4
Meriwether,43.0
Miller,43.3
Mitchell,40.2
Monroe,42.3
Montgomery,39.5
Morgan,43.1
Murray,38.8
Muscogee,35.3
Newton,36.6
Oconee,40.8
Oglethorpe,42.4
Paulding,36.8
Peach,37.9
Pickens,46.7
Pierce,39.6
Pike,40.0
Polk,37.1
Pulaski,44.0
Putnam,48.4
Quitman,54.0
Rabun,51.1
Randolph,46.0
Richmond,35.1
