Latitude,Longitude,Score,ID
34.3209,-118.2247,0.52892592705415,1.0
41.8401,-87.8168,0.44956941128938793,2.0
29.8577,-95.3936,0.5868564956284931,3.0
33.349,-112.4915,0.3906515412397835,4.0
33.0343,-116.735,0.5357291824790238,5.0
33.7031,-117.7609,0.5186554564310029,6.0
25.615,-80.5623,0.3195075730390552,8.0
32.7666,-96.7778,0.6071713492051131,9.0
33.7436,-115.9938,0.5632294244143571,10.0
47.4902,-121.8052,0.15713975018901974,12.0
36.2152,-115.0135,0.5322929405734057,13.0
34.8414,-116.1784,0.5651089443484941,14.0
32.7719,-97.2911,0.5895670819380473,15.0
29.4489,-98.52,0.5804029526884277,16.0
26.1523,-80.4871,0.3317601127407784,17.0
37.2318,-121.6951,0.4661224918357945,18.0
42.2819,-83.2822,0.42164216599808524,19.0
37.6469,-121.8888,0.5012789412841444,20.0
42.4856,-71.3918,0.2938292393229848,22.0
40.0077,-75.1339,0.30672962780539254,23.0
38.4493,-121.3443,0.5565167734043202,24.0
40.8686,-72.8448,0.5223508830202537,25.0
26.6476,-80.4655,0.3081856160827235,26.0
27.9291,-82.3091,0.3438154872591842,28.0
28.5145,-81.3236,0.32065456363444284,29.0
40.7328,-73.5865,0.5310426626903008,30.0
39.9695,-83.0093,0.3646318850713486,31.0
42.6604,-83.3858,0.3255576272616787,32.0
45.0045,-93.477,0.05705482784606658,33.0
30.3344,-97.782,0.5482051909888795,34.0
41.4243,-81.6586,0.3565176551478822,35.0
40.4688,-79.9812,0.273396862212279,36.0
40.6673,-111.9236,0.26597647892473936,37.0
37.9192,-121.9277,0.5074167290414516,38.0
35.7903,-78.6503,0.3966077945944091,40.0
35.2467,-80.8328,0.40632468915307884,41.0
39.1363,-77.2042,0.332034989821888,42.0
33.7903,-84.467,0.5258130510681462,43.0
33.188,-96.5724,0.5476446201473866,44.0
32.0974,-111.7899,0.39381076461025144,45.0
36.7582,-119.6493,0.5730367540721923,47.0
38.6407,-90.4434,0.3892229127819244,48.0
41.1624,-73.7561,0.49397444217445385,49.0
30.3316,-81.6708,0.3692026956699708,50.0
39.7817,-86.1385,0.4016650079661791,51.0
27.92,-82.7256,0.35801767540957763,52.0
38.8295,-76.8473,0.34493687177592536,53.0
41.271,-73.3893,0.1252615333183881,54.0
42.764,-78.7323,0.5838023497131272,56.0
33.9617,-84.0236,0.5179281953082634,57.0
43.0072,-87.9669,0.1872401724213059,58.0
41.852,-88.0856,0.3938181858924672,59.0
35.1842,-89.894,0.5993812370522081,60.0
47.0241,-122.1046,0.22698980404173796,61.0
35.3426,-118.7301,0.5869896072468586,62.0
41.8064,-72.7329,0.18215672446396167,63.0
33.2055,-97.1168,0.5604823034053052,64.0
42.6957,-82.9323,0.3883956965366439,65.0
